date,PE,return
2006-01-29,10.88,0.010894639544614115
2006-02-05,,0.0
2006-02-12,11.2,0.03383148624361443
2006-02-19,11.16,-0.000952183781364635
2006-02-26,11.51,0.02381661639637045
2006-03-05,11.29,-0.019579828430934865
2006-03-12,10.73,-0.041055164247980946
2006-03-19,11.6,0.03106466607937608
2006-03-26,12.09,0.027492617126118057
2006-04-02,12.58,0.03774250256445488
2006-04-09,13.06,0.04528120408147096
2006-04-16,14.2,0.0201858937051671
2006-04-23,14.92,0.027183801384405903
2006-04-30,14.13,-0.011996229981636186
2006-05-07,,0.0
2006-05-14,15.01,0.0685685319439655
2006-05-21,15.98,0.06724708958475989
2006-05-28,15.69,-0.00813967528797166
2006-06-04,15.98,0.020958441275843676
2006-06-11,15.23,-0.054910074988392954
2006-06-18,15.49,0.022402323917307232
2006-06-25,15.9,0.0004703615584047416
2006-07-02,16.54,0.05351854522226529
2006-07-09,16.67,0.010671150733185586
2006-07-16,16.07,-0.02552066282203036
2006-07-23,16.05,-0.0024464452461432362
2006-07-30,15.51,-0.022283283881448956
2006-08-06,14.14,-0.07317107637774656
2006-08-13,14.5,0.024932880832188697
2006-08-20,13.58,0.0005324450571249084
2006-08-27,13.49,0.016150705222681028
2006-09-03,13.72,0.031952011929954116
2006-09-10,13.6,-0.005559920834194987
2006-09-17,13.89,0.02094057944237293
2006-09-24,13.93,0.011998345055854509
2006-10-01,14.07,0.011638163516197286
2006-10-08,,0.0
2006-10-15,14.51,0.015942856038550834
2006-10-22,14.59,0.023838603106755674
2006-10-29,14.41,0.006059549596613367
2006-11-05,13.71,0.039500992073730146
2006-11-12,13.7,0.002653334852112499
2006-11-19,14.21,0.0442368945476983
2006-11-26,14.77,0.039702921774923405
2006-12-03,16.0,0.08277293458862656
2006-12-10,15.71,-0.019701815157670555
2006-12-17,16.9,0.08476447980160451
2006-12-24,17.0,0.015723396290283853
2006-12-31,18.31,0.04777551724831386
2007-01-07,18.94,0.021576996236442714
2007-01-14,20.17,0.06613258956713008
2007-01-21,22.27,0.10596048640854838
2007-01-28,23.54,0.05401452970329257
2007-02-04,20.98,-0.1213564570176473
2007-02-11,21.93,0.05174762214603956
2007-02-18,24.46,0.11821675274855492
2007-02-25,,0.0
2007-03-04,22.85,-0.0668084079809057
2007-03-11,23.94,0.04073097292525829
2007-03-18,24.01,0.007748001053848652
2007-03-25,23.97,0.06256051630821102
2007-04-01,24.27,0.006956410893917742
2007-04-08,25.1,0.07743514473043467
2007-04-15,25.08,0.06664223300713923
2007-04-22,26.54,0.046315884009460406
2007-04-29,26.31,0.039850232343307646
2007-05-06,24.69,0.012711339761894314
2007-05-13,26.28,0.07607538278950687
2007-05-20,27.41,0.0512256256393655
2007-05-27,28.83,0.06218891608740984
2007-06-03,28.36,0.004700546304522435
2007-06-10,29.21,0.03705055595604567
2007-06-17,31.4,0.07731058854548545
2007-06-24,30.94,-0.018034760670639027
2007-07-01,29.17,-0.04549095879604759
2007-07-08,28.5,-0.022764741421320678
2007-07-15,29.27,0.029030502459276075
2007-07-22,29.82,0.03683146494098666
2007-07-29,33.76,0.10665385219200507
2007-08-05,36.9,0.09936251635696558
2007-08-12,37.29,0.012858950182608186
2007-08-19,35.08,-0.04322267938135593
2007-08-26,38.71,0.1300453647969233
2007-09-02,38.64,0.008351317179136064
2007-09-09,39.39,0.001846835723428475
2007-09-16,41.03,0.03836669761052036
2007-09-23,41.55,0.015738163313376408
2007-09-30,42.45,0.016663289138253434
2007-10-07,,0.0
2007-10-14,42.07,0.011922408467604173
2007-10-21,40.75,-0.026293432332629485
2007-10-28,38.47,-0.03310839171508173
2007-11-04,38.39,0.016314822195871326
2007-11-11,35.48,-0.08151559472778791
2007-11-18,34.89,-0.017539245517626423
2007-11-25,36.4,-0.019224870809995465
2007-12-02,35.23,-0.025038849529039897
2007-12-09,38.22,0.07219359831299821
2007-12-16,37.93,-0.011817633198942912
2007-12-23,39.53,0.02204744751699783
2007-12-30,41.27,0.045943821465448176
