date,PE,return
2007-01-21,40.2,0.14767347255458052
2007-01-28,40.48,0.012331696330588615
2007-02-04,39.16,-0.027062531160378378
2007-02-11,41.72,0.07534986535684185
2007-02-18,46.4,0.1110562691567345
2007-02-25,,0.0
2007-03-04,45.26,-0.01484688218228547
2007-03-11,46.94,0.053669063541343265
2007-03-18,47.85,0.027601479427773468
2007-03-25,50.39,0.06903268002306251
2007-04-01,50.36,0.009684268352059267
2007-04-08,54.6,0.08774004943159142
2007-04-15,57.06,0.05524543349764355
2007-04-22,59.1,0.07614975382834444
2007-04-29,59.32,0.06402793720989242
2007-05-06,58.93,0.015049093650679302
2007-05-13,61.69,0.05269733321481307
2007-05-20,63.5,0.030608338972838434
2007-05-27,69.55,0.09791118923966691
2007-06-03,60.13,-0.1482658498960291
2007-06-10,61.19,0.010712440682125735
2007-06-17,66.28,0.07835931637016236
2007-06-24,63.55,-0.044784815581033866
2007-07-01,55.54,-0.13041497957297876
2007-07-08,53.49,0.0016430129695106377
2007-07-15,54.09,0.017950774869917696
2007-07-22,55.38,0.03635247117971363
2007-07-29,60.93,0.12696107205976426
2007-08-05,62.17,0.032385842131432474
2007-08-12,60.01,-0.013438150727521747
2007-08-19,58.51,0.009674368465311556
2007-08-26,61.88,0.08018204994302969
2007-09-02,61.44,0.03261322640135811
2007-09-09,62.26,0.008492872888062886
2007-09-16,61.94,-0.0005136427107780284
2007-09-23,63.35,0.01866613567703368
2007-09-30,64.29,0.010898530735598655
2007-10-07,,0.0
2007-10-14,61.91,-0.03782007022513345
2007-10-21,59.74,-0.015830686844179098
2007-10-28,49.11,-0.12152302307958207
2007-11-04,48.97,0.023808532906308466
2007-11-11,46.98,-0.04074134724183198
2007-11-18,47.68,0.015407744707981896
2007-11-25,47.53,-0.0055126258290992824
2007-12-02,46.71,-0.016940471819131164
2007-12-09,49.55,0.05803830865995341
2007-12-16,51.11,0.03147709193942516
2007-12-23,53.43,0.04267179016475042
2007-12-30,56.38,0.054581306366170645
2008-01-06,61.35,0.05971154112405541
2008-01-13,62.51,0.025512909324222788
2008-01-20,61.88,-0.011037984138140389
2008-01-27,59.0,-0.04151577974998544
2008-02-03,51.62,-0.12552519380225202
2008-02-10,55.65,0.08572453621071197
2008-02-17,56.16,0.009717100348315855
2008-02-24,57.74,0.02930444763177209
2008-03-02,57.58,0.0056508015790988075
2008-03-09,57.77,0.011526970112604618
2008-03-16,52.42,-0.08866447377165709
2008-03-23,49.11,-0.05500699652275809
2008-03-30,47.2,-0.037314882737883304
2008-04-06,40.08,-0.15388362287254465
2008-04-13,42.66,0.07623826823846191
2008-04-20,35.8,-0.1356912853608011
2008-04-27,38.19,0.12523118234153352
2008-05-04,38.7,0.03909347687769715
2008-05-11,39.52,0.021280607750914893
2008-05-18,40.62,0.021491430520992116
2008-05-25,38.3,-0.05949664899273299
2008-06-01,37.53,-0.01932659554606242
2008-06-08,36.37,-0.033471871970382594
2008-06-15,30.56,-0.16111030454364994
2008-06-22,27.83,-0.09222177888775573
2008-06-29,28.03,0.01028296699321296
2008-07-06,29.18,0.05313128311081905
2008-07-13,31.11,0.0651623465489779
2008-07-20,30.12,-0.03732683251333602
2008-07-27,31.44,0.05185028970773242
2008-08-03,30.08,-0.03415834218112046
2008-08-10,26.53,-0.11483994448745583
2008-08-17,24.14,-0.08785035494571469
2008-08-24,22.66,-0.03686517091486208
2008-08-31,21.86,-0.03163243334901722
2008-09-07,20.17,-0.0686632645011741
2008-09-14,19.12,-0.051230464723296065
2008-09-21,19.6,0.023626303552333416
2008-09-28,20.09,0.02356449459609955
2008-10-05,,0.0
2008-10-12,17.26,-0.13979253755031018
2008-10-19,16.21,-0.06041349643301075
2008-10-26,16.33,0.00856174698795198
2008-11-02,14.68,-0.10289510395530388
2008-11-09,14.64,-0.0005127968748199763
2008-11-16,17.5,0.19616953653582692
2008-11-23,17.96,0.028677606513572984
2008-11-30,17.22,-0.04143068337983591
2008-12-07,19.65,0.1396757989627735
2008-12-14,19.01,-0.0317650915633626
2008-12-21,20.61,0.08021783550328965
2008-12-28,18.68,-0.09623579836664686
2009-01-04,18.31,-0.022343462430126304
2009-01-11,20.22,0.08679495502035905
