date,PE,return
2005-04-10,14.98,0.025865285821631945
2005-04-17,14.79,-0.02926219174942346
2005-04-24,14.33,-0.03591176102217264
2005-05-01,13.99,-0.007140871961588746
2005-05-08,,0.0
2005-05-15,13.33,-0.04810407606218392
2005-05-22,13.12,-0.005385654554201813
2005-05-29,12.47,-0.037671492801578776
2005-06-05,11.98,-0.03705085767291194
2005-06-12,13.09,0.09354512593012787
2005-06-19,12.85,-0.015886093212722496
2005-06-26,13.06,0.020396549080190507
2005-07-03,12.47,-0.04320044172276327
2005-07-10,12.11,-0.03491007499761478
2005-07-17,12.26,0.013878423945344665
2005-07-24,12.58,0.022225895094060366
2005-07-31,12.94,0.0331176361794272
2005-08-07,13.42,0.040126598240865397
2005-08-14,13.73,0.015710059395780185
2005-08-21,13.12,-0.01628236116617421
2005-08-28,13.35,0.005655238462555223
2005-09-04,13.13,0.02112882409847283
2005-09-11,13.09,0.0012596650810077215
2005-09-18,13.25,0.019419112494929225
2005-09-25,12.57,-0.05306590731735039
2005-10-02,12.63,0.0013513012004531255
2005-10-09,,0.0
2005-10-16,12.38,-0.01369534506514114
2005-10-23,12.29,-0.0004575455224639091
2005-10-30,11.7,-0.04056217617153213
2005-11-06,11.97,0.012252673357695532
2005-11-13,11.83,-0.015450367218034722
2005-11-20,12.08,0.02017946553498562
2005-11-27,12.01,0.002112801377401663
2005-12-04,11.84,-0.016026376957487987
2005-12-11,12.15,0.020026760589284542
2005-12-18,12.31,0.017132882106207337
2005-12-25,12.48,0.014767976901284063
2006-01-01,12.61,0.008255358176200378
2006-01-08,13.12,0.05044230825457996
2006-01-15,13.11,0.009048155112408862
2006-01-22,13.49,0.014845592960424092
2006-01-29,13.56,0.016365997543640542
2006-02-05,,0.0
2006-02-12,13.8,0.022523838719806122
2006-02-19,13.72,-0.011594082165029329
2006-02-26,14.09,0.02849560158687825
2006-03-05,13.96,-0.007401061895632388
2006-03-12,13.4,-0.03146848783260048
2006-03-19,13.7,0.014984681290558077
2006-03-26,14.01,0.018150124754032326
2006-04-02,14.03,0.01773161545020585
2006-04-09,14.06,0.03964421424047759
2006-04-16,14.43,0.014008017013037222
2006-04-23,15.29,0.027311647432923136
2006-04-30,15.8,0.020179122453135356
2006-05-07,,0.0
2006-05-14,17.64,0.10569396262369413
2006-05-21,18.12,0.053878204707862754
2006-05-28,17.55,-0.025676800402899547
2006-06-04,17.8,0.044399032321077
2006-06-11,16.57,-0.06900934886009502
2006-06-18,16.74,0.01840926915394636
2006-06-25,16.99,0.016263913020386767
2006-07-02,17.79,0.040701155552370194
2006-07-09,17.94,0.01181236517755524
2006-07-16,17.19,-0.0377899206553467
