date,000001.SH,000300.SH,000016.SH,000010.SH,000903.SH,000906.SH,000925.SH,399001.SZ,399324.SZ,399348.SZ,399346.SZ,159915.SZ,159902.SZ,512500.SH,000015.SH,161227.SZ
1990-12-20,4.410882176435282,,,,,,,,,,,,,,,
1990-12-21,4.5406648146374184,,,,,,,,,,,,,,,
1990-12-24,4.966553651608185,,,,,,,,,,,,,,,
1990-12-25,4.975993016150149,,,,,,,,,,,,,,,
1990-12-26,4.1746361746361815,,,,,,,,,,,,,,,
1990-12-27,0.007982757244362482,,,,,,,,,,,,,,,
1990-12-28,0.9339080459770166,,,,,,,,,,,,,,,
1990-12-31,0.917358639778576,,,,,,,,,,,,,,,
1991-01-02,0.9638743045215836,,,,,,,,,,,,,,,
1991-01-03,1.009003415088472,,,,,,,,,,,,,,,
1991-01-04,0.9989242354387695,,,,,,,,,,,,,,,
1991-01-07,0.4716981132075526,,,,,,,,,,,,,,,
1991-01-08,0.46948356807512415,,,,,,,,,,,,,,,
1991-01-09,0.49743744347301444,,,,,,,,,,,,,,,
1991-01-10,0.47247637618119676,,,,,,,,,,,,,,,
1991-01-11,0.47025453459730304,,,,,,,,,,,,,,,
1991-01-14,0.052005943536403976,,,,,,,,,,,,,,,
1991-01-15,0.05197891141310862,,,,,,,,,,,,,,,
1991-01-16,-0.37108505269407566,,,,,,,,,,,,,,,
1991-01-17,0.007449344457688412,,,,,,,,,,,,,,,
1991-01-18,-0.0074487895716846,,,,,,,,,,,,,,,
1991-01-21,0.0,,,,,,,,,,,,,,,
1991-01-22,-0.3873659117997641,,,,,,,,,,,,,,,
1991-01-23,-0.4113072090936365,,,,,,,,,,,,,,,
1991-01-24,-0.42051513103550375,,,,,,,,,,,,,,,
1991-01-25,-0.42229092828595105,,,,,,,,,,,,,,,
1991-01-28,-0.4468004543733417,,,,,,,,,,,,,,,
1991-01-29,-0.38795070743954385,,,,,,,,,,,,,,,
1991-01-30,-0.38946162657502725,,,,,,,,,,,,,,,
1991-01-31,-0.36031892057650783,,,,,,,,,,,,,,,
1991-02-01,-0.35392782949912327,,,,,,,,,,,,,,,
1991-02-04,-0.35518492780478583,,,,,,,,,,,,,,,
1991-02-05,-0.36419992251065514,,,,,,,,,,,,,,,
1991-02-06,0.43552652045417695,,,,,,,,,,,,,,,
1991-02-07,0.5033297196840758,,,,,,,,,,,,,,,
1991-02-08,0.4545804761537875,,,,,,,,,,,,,,,
1991-02-11,0.452523393158466,,,,,,,,,,,,,,,
1991-02-12,0.29014278078949296,,,,,,,,,,,,,,,
1991-02-13,0.4339550818424076,,,,,,,,,,,,,,,
1991-02-14,0.4624014554275524,,,,,,,,,,,,,,,
1991-02-19,0.45272768429789334,,,,,,,,,,,,,,,
1991-02-20,0.405618568316668,,,,,,,,,,,,,,,
1991-02-21,0.4563477220019596,,,,,,,,,,,,,,,
1991-02-22,0.43938039916593397,,,,,,,,,,,,,,,
1991-02-25,-0.3484837250685824,,,,,,,,,,,,,,,
1991-02-26,-0.34970238095237693,,,,,,,,,,,,,,,
1991-02-27,-0.34346300306130617,,,,,,,,,,,,,,,
1991-02-28,-0.34464673709448945,,,,,,,,,,,,,,,
1991-03-01,-0.36087512217125584,,,,,,,,,,,,,,,
1991-03-04,-0.40745491586809957,,,,,,,,,,,,,,,
1991-03-05,-0.4015455716342209,,,,,,,,,,,,,,,
1991-03-06,-0.3955575840559944,,,,,,,,,,,,,,,
1991-03-07,-0.40476554146937627,,,,,,,,,,,,,,,
1991-03-08,-0.39874242772793833,,,,,,,,,,,,,,,
1991-03-11,-0.44653168065285076,,,,,,,,,,,,,,,
1991-03-12,-0.41760111360296115,,,,,,,,,,,,,,,
1991-03-13,-2.034635396443274,,,,,,,,,,,,,,,
1991-03-14,-0.41220768925882556,,,,,,,,,,,,,,,
1991-03-15,-0.36615458091219244,,,,,,,,,,,,,,,
1991-03-18,-0.36750019972837666,,,,,,,,,,,,,,,
1991-03-19,-0.39291155480715156,,,,,,,,,,,,,,,
1991-03-20,-0.45081307357913714,,,,,,,,,,,,,,,
1991-03-21,-0.4366812227074135,,,,,,,,,,,,,,,
1991-03-22,-0.40610786224821727,,,,,,,,,,,,,,,
1991-03-25,-0.4077638231936076,,,,,,,,,,,,,,,
1991-03-26,-0.409433344251553,,,,,,,,,,,,,,,
1991-03-27,-0.41111659266568346,,,,,,,,,,,,,,,
1991-03-28,-0.42107001321004534,,,,,,,,,,,,,,,
1991-03-29,-0.34822983168891763,,,,,,,,,,,,,,,
1991-04-01,0.44928862634163735,,,,,,,,,,,,,,,
1991-04-02,0.3975813799387051,,,,,,,,,,,,,,,
1991-04-03,0.41250721887633457,,,,,,,,,,,,,,,
1991-04-04,0.008216251745962744,,,,,,,-0.4999746976367514,,,,,,,,
1991-04-05,-0.14788038120275848,,,,,,,-0.49231520379204863,,,,,,,,
1991-04-08,-0.37024847786737425,,,,,,,-0.9915463011234027,,,,,,,,
1991-04-09,-0.3881410521100026,,,,,,,-0.49970575177840093,,,,,,,,
1991-04-10,-0.3813629580500799,,,,,,,-0.5032529857947776,,,,,,,,
1991-04-11,-0.43275632490012983,,,,,,,-0.5057984315034236,,,,,,,,
1991-04-12,-0.3594115680374488,,,,,,,-0.49474335188620655,,,,,,,,
1991-04-15,-0.36909655230266125,,,,,,,-0.9828191001885478,,,,,,,,
1991-04-16,-0.3620442872779295,,,,,,,-0.4893721143003016,,,,,,,,
1991-04-17,-0.37181003887104547,,,,,,,-0.4917787423293185,,,,,,,,
1991-04-18,-0.3816793893129833,,,,,,,-0.4942091579105745,,,,,,,,
1991-04-19,-0.3150276713495104,,,,,,,-0.49666371547646415,,,,,,,,
1991-04-22,-0.38435257943286727,,,,,,,,,,,,,,,
1991-04-23,-0.37726142501929294,,,,,,,-1.4974283296078528,,,,,,,,
1991-04-24,-0.34426370599879297,,,,,,,-0.49241005529974124,,,,,,,,
1991-04-25,-0.371361948354787,,,,,,,-0.4948467303583337,,,,,,,,
1991-04-26,0.173370319001398,,,,,,,-0.49842018601753413,,,,,,,,
1991-04-29,-0.7009345794392496,,,,,,,-0.998479359542026,,,,,,,,
1991-04-30,-0.7058823529411784,,,,,,,-0.5025806670205357,,,,,,,,
1991-05-02,-0.6845708267509187,,,,,,,-0.5005789007695993,,,,,,,,
1991-05-03,-0.6627783669141074,,,,,,,-0.5030972997022598,,,,,,,,
1991-05-06,-0.7116804554754941,,,,,,,-1.0101357549073486,,,,,,,,
1991-05-07,-0.7078218797598845,,,,,,,-0.49690160421614893,,,,,,,,
1991-05-08,-0.7128677134091266,,,,,,,-0.49821898354014404,,,,,,,,
1991-05-09,-0.6725438516768101,,,,,,,-0.5007136339174934,,,,,,,,
1991-05-10,-0.6953975661085243,,,,,,,-0.503233392122282,,,,,,,,
1991-05-13,-0.6357689118216103,,,,,,,-1.0115572782491644,,,,,,,,
1991-05-14,-0.602744807121669,,,,,,,-0.31635747200534636,,,,,,,,
1991-05-15,-0.5784121653139351,,,,,,,-0.2958048406605962,,,,,,,,
1991-05-16,-0.7506803040255194,,,,,,,-0.29788358517308655,,,,,,,,
1991-05-17,0.9265387160820593,,,,,,,-0.28190733200008644,,,,,,,,
1991-05-20,1.0023419203746942,,,,,,,-0.6101096989320154,,,,,,,,
1991-05-21,0.9181969949916713,,,,,,,-0.3063196664519152,,,,,,,,
1991-05-22,-0.5146585791747094,,,,,,,-0.30726086691458265,,,,,,,,
1991-05-23,0.7667436489607438,,,,,,,-0.4941110282156935,,,,,,,,
1991-05-24,0.9167583425009118,,,,,,,-0.49533548839096886,,,,,,,,
1991-05-27,0.5268895348837122,,,,,,,-0.9980730273234761,,,,,,,,
1991-05-28,0.9217422736309544,,,,,,,-0.4366921195787743,,,,,,,,
1991-05-29,0.9580945558739229,,,,,,,-0.42231634878067137,,,,,,,,
1991-05-30,0.9490022172949031,,,,,,,-0.42536590276991415,,,,,,,,
1991-05-31,0.8873660165173103,,,,,,,-0.42718299356697687,,,,,,,,
1991-06-03,0.9927719237133203,,,,,,,-0.8567620739988624,,,,,,,,
1991-06-04,0.9916357678710019,,,,,,,-0.4327230828318984,,,,,,,,
1991-06-05,0.8965163934426146,,,,,,,-0.4333179036156931,,,,,,,,
1991-06-06,0.0,,,,,,,-0.39904435978562747,,,,,,,,
1991-06-07,1.9463484810019471,,,,,,,-0.4019396831159483,,,,,,,,
1991-06-10,0.9960986137627748,,,,,,,-4.492553634659446,,,,,,,,
1991-06-11,1.0027122544587819,,,,,,,3.115927213248826,,,,,,,,
1991-06-12,0.9927577508340724,,,,,,,-0.4560415592655853,,,,,,,,
1991-06-13,0.9910563210055567,,,,,,,-0.9481316229782433,,,,,,,,
1991-06-14,-0.6462422211584551,,,,,,,-1.3741419991419979,,,,,,,,
1991-06-17,0.9957439974303428,,,,,,,-1.9941006157652152,,,,,,,,
1991-06-18,1.0018287349924604,,,,,,,0.02912621359223433,,,,,,,,
1991-06-19,0.9918916791308963,,,,,,,-0.5379847755854761,,,,,,,,
1991-06-20,0.9977394964533426,,,,,,,-1.0051161947778664,,,,,,,,
1991-06-21,0.9956008335263,,,,,,,-0.8040894496704865,,,,,,,,
1991-06-24,1.0010698456365485,,,,,,,-2.0754958049999273,,,,,,,,
1991-06-25,0.998713777710547,,,,,,,0.04349149741227354,,,,,,,,
1991-06-26,1.003820510899689,,,,,,,0.5607964178585334,,,,,,,,
1991-06-27,1.0086775940072679,,,,,,,0.13545449305434332,,,,,,,,
1991-06-28,1.00594757324326,,,,,,,-0.5022305367678781,,,,,,,,
1991-07-01,-0.5161384123291701,,,,,,,-1.070276680985227,,,,,,,,
